Informal + Pure	Formal + Pure	Informal + Impure	Formal + Impure
सरकारमधील माहिती तंत्रज्ञान प्रशिक्षणासाठी समन्वय करणारी संस्था बनशील 	सरकारमधील माहिती तंत्रज्ञान प्रशिक्षणासाठी समन्वय करणारी संस्था बनाल 	सरकारमधील आयटी प्रशिक्षणासाठी नोडल एजन्सी बनशील 	सरकारमधील आयटी प्रशिक्षणासाठी नोडल एजन्सी बनाल 
असा वाटतं की वडिल तुझ्यावर प्रेम नाही करत.	असा वाटतं की वडिल तुमश्यावर प्रेम नाही करत.	असा वाटतं की डॅड्डी तुझ्याशी लव्ह नाही करत.	असा वाटतं की डॅड्डी तुमश्यावर लव्ह नाही करत.
अर्थसंकल्पीय अधिवेशन दोन टप्प्यात केल जात आहे.	अर्थसंकल्पीय अधिवेशन दोन टप्प्यात आयोजित करत आहे.	बजेट सेशन दोन टप्प्यात केले जात आहे.	बजेट सेशन दोन टप्प्यात ऑर्गनाईझ करत आहे.
कोरोना विषाणूशी लढण्यासाठी सरकारच्या तयारीचा उच्चस्तरीय आढावा आहे.	सरकार कोरोना विषाणूला रोखण्यासाठी सज्जतेचा उच्चस्तरीय आढावा घेत आहे.	सरकार कोरोना विरसल फाईट करण्यासाठीतयारीचा उच्चस्तरीय आढावा आहे.	सरकार कोरोना विरसल फाईट करण्यासाठी सज्जतेचा उच्चस्तरीय आढावा घेत आहे.
आणि ते मम्मीच्या अंडी बाहेर काढतात.	आणि ते आईच्या अंडी बाहेर काढतात.	आणि ते मम्मीच्या एगग्स बाहेर काढतात.	आणि ते आईच्या एगग्स बाहेर काढतात.
इराणने पुन्हा अमेरिकेला धमकी दिली आहे.	इराण पुन्हा अमेरिकेशी संघर्षाच्या मार्गावर.	इराणने पुन्हा अमेरिकेला थ्रेअठएन केले आहे.	इराण पुन्हा अमेरिकेशी कॉन्फ्लिक्टच्या मार्गावर.
तू किती नाजूक आणि सुंदर आहेस	तुम्ही किती नाजूक आणि सुंदर आहा.	तू किती डेलिकेट आणि सुंदर आहेस	तुम्ही किती डेलिकेट आणि सुंदर आहा.
यावर हजारो आवडी आणि टिप्पण्या येत आहेत.	त्यावर हजारो आवडीसह शेकडो टिप्पण्या आणि सूचना आहेत.	यावर हजारो लाईक्स आणि कमेंट्स येत आहेत.	त्यावर हजारो लाईक्ससह शेकडो कमेंट्स आणि सूचना आहेत.
२७८४ शेतकरी बाधित झाल्याची माहिती त्यांनी दिली.	ते म्हणाले की, या आपत्तीमुळे २७८४ शेतकरी बाधित झाले आहेत.	२७८४ शेतकरी अफ्फेक्ट झाल्याची माहिती त्यांनी दिली.	ते म्हणाले की, या कॅलॅमिटीमुले २७८४ शेतकरी अफ्फेक्ट झाले आहेत.
आणि तुझ्या प्रभूबद्दल तुझ्या वाईट विचारांनी तुझा नाश केला आणि तू नुकसानीत होता.	आणि तुमचा हा चुकीचा विचार जो तुम्ही तुमच्या प्रभूबद्दल बाळगत होता, त्यामुळे तुमचा सर्वनाश झाला, शेवटी तुम्ही नुकसानीत होता.	आणि तुझ्या लॉर्डबदद्ल तुझ्या वाईट विचारांनी तुझा नाश केला आणि तू लॉसमध्ये होता.	आणि तुमचा हा चुकीचा विचार जो तुम्ही तुमच्या लॉर्डबद्दल कॅरी करत होता, त्यामुळे तुमचा सर्वनाश झाला, शेवटी तुम्ही लॉसमध्ये होता.
ग्रामस्थांनी आग विझवण्याचा प्रयत्न केला मात्र आग आटोक्यात आली नाही	ग्रामस्थांनी आग आटोक्यात आणण्याचा आटोकाट प्रयत्न केला, मात्र आग आटोक्यात आली नाही.	ग्रामस्थांनी आग विझवण्याचा प्रयत्न केला मात्र आग अनकंट्रोलेबल झाली होती.	ग्रामस्थांनी आग आटोक्यात आणण्याचा आटोकाट प्रयत्न केला, मात्र आग अनकंट्रोलेबल झाली होती.
मी अधिक दिवसांची शपथ घेतो जेव्हा ते खूप उज्ज्वल असते.	आणि ज्या दिवशी ते उजळेल.	मी अधिक दिवसांची शपथ घेतो जेव्हा ते खूप सनी असते.	आणि ज्या दिवशी ते ब्राईट राहील.
१९९१ मध्ये रशियातील यहोवाचे साक्षीदार आनंदी होते.	१९९१ मध्ये रशियातील यहोवाचे साक्षीदार आनंदाने भरून गेले होते.	१९९१ मध्ये रशियातील यहोवाचे साक्षीदार हॅपी होते.	१९९१ मध्ये रशियातील यहोवाचे साक्षीदार जॉयने भरून गेले होते.
जैमिनी सूत्रानुसार गीतेला साम म्हणतात.	जैमिनी सूत्रानुसार - गीतकाला सामन म्हणतात.	जैमिनी फॉर्मुला नुसार गीतेला साम म्हणतात.	जैमिनी फॉर्मुला नुसार - गीतकाला सामन म्हणतात.
लंडन ऑलिम्पिकमध्ये भारताचा स्टार कुस्तीपटू सुशील कुमार पुरुषांच्या ६६ किलो वजनी कुस्ती स्पर्धेच्या अंतिम फेरीत पराभूत झाला.	लंडन ऑलिम्पिकमध्ये भारताचा सुशील कुमार ६६ किलो वजनी गटात पराभूत झाला.	लंडन ऑलिम्पिकमध्ये भारताचा स्टार वरेस्टलिंग प्लेअर सुशील कुमार पुरुषांच्या ६६ किलो वजनीवरेस्टलिन स्पर्धेच्या अंतिम फेरीत पराभूत झाला.	लंडन ऑलिम्पिकमध्ये भारताचा सुशील कुमार ६६ किलो वजनी ग्रुपमध्ये पराभूत झाला.
गॉडविन म्हणतात: चर्चमध्ये काहीतरी घडत होते ज्याबद्दल मला वाईट वाटले.	"चर्चमध्ये अशा काही गोष्टी घडत होत्या ज्यामुळे मला वाईट वाटले," गॉडविन म्हणतात.	गॉडविन म्हणतात: चर्चमध्ये काहीतरी घडत होते ज्याबद्दल मला हर्ट वाटले.	"चर्चमध्ये अशा काही स्टोरी घडत होत्या ज्यामुळे मला हर्ट वाटले," गॉडविन म्हणतात.
सध्या चौकीदार या प्रकरणाचा तपास करत आहेत.	सध्या चौकीदार विविध कलमांखाली या प्रकरणाचा तपास करत आहेत.	सध्या पोलिस या प्रकरणाचा इन्वेस्टीगेट करत आहेत.	सध्या पोलिस विविध कलमांखाली या प्रकरणाचा इन्वेस्टीगेट करत आहेत.
विमान वाहतुकीच्या सुरुवातीच्या काळात जगाला याबद्दल शंका होती	विमान वाहतुकीच्या सुरुवातीच्या काळात सर्वसामान्य जग याबद्दल साशंक होते.	ऐरोप्लेन वाहतुकीच्या स्टार्टींगच्या काळात जगाला याबद्दल शंका होती	ऐरोप्लेन वाहतुकीच्या स्टार्टींगच्या काळात सर्वसामान्य जग याबद्दल साशंक होते.
त्यानंतर त्याने मागे वळूनही पाहिले नाही.	त्यानंतर त्यांनी कधीच मागे वळून पाहिले नाही.	आफ्टरवर्ड्स त्याने मागे वळूनही पाहिले नाही.	आफ्टरवर्ड्स त्यांनी कधीच मागे वळून पाहिले नाही.
चौकीदारानी आरोपी आणि तिच्या पतीला अटक केली आहे	चौकीदारानी आरोपी महिलेला तिच्या पतीसह ताब्यात घेतले आहे	पोलिसने आरोपी आणि तिच्या हसबंढला अटक केली आहे	पोलिसने आरोपी महिलेला तिच्या हसबंढ ताब्यात घेतले आहे
सरकारने कधीही मदत केली नाही.	शासनाची मदत कधीच पोहोचत नाही.	गव्हर्नमेंटनी कधीही हेल्प केली नाही.	गव्हर्नमेंटची मदत कधीच पोहोचत नाही.
मग ते धान्यासारखे उडू लागतील.	मग पक्षी उडतील.	मग ते ग्रेंन्स सारखे उडू लागतील.	मग बोर्ड्स उडतील.
आपण काय करू शकतो?	आपण कशाबद्दल प्रार्थना करू शकतो?	आपण काय करू शकतो?	आपण कशाबद्दल प्रे करू शकतो?
आता आपण काय करू शकतो ते पाहूया.	आता आपण आणखी काय करू शकतो ते पाहूया	लेट्स सी आता आपण काय करू शकतो.	लेट्स सी आता आपण आणखी काय करू शकतो.
आणि शेवटच्या वेळी कधी मिठी मारली होतीस?	आणि तू शेवटची कधी भेटली होतीस?	आणि लास्ट टाईम कधी मिठी मारली होतीस?	आणि तू लास्ट टाईम कधी भेटली होतीस?
या हिंसाचारात दोन जणांचा मृत्यू झाला, तर १५० लोक जखमी झाले.	या हिंसाचारात दोन जणांचा मृत्यू झाला असून सुमारे १५० जण जखमी झाले आहेत.	या हिंसाचारात दोन जणांची देअथ झाली, तर १५० लोक जखमी झाले.	या हिंसाचारात दोन जणांची देअथ झाली, तर 150 लोक जखमी झाले आहेत.
अंगावर कपडे नव्हते.	मृतदेहावर एकही कपडा नव्हता.	अंगावर क्लाथ नव्हते.	डेड़ बॉडीवर एकही कपडा नव्हता.
त्याच्या फंदात पडू नका.	तो त्यांच्याकडे ओढला जाणार नाही.	त्याच्या ट्राइपमध्ये पडू नका.	तो त्यांच्या ट्राइपमध्ये जाणार नाही.
खरं तर अजिबात फरक पडला नाही.	खरं तर, काहीही नव्हते.	सिरिअसली अजिबात फरक पडला नाही.	सिरिअसली, काहीही नव्हते.
आणि तेही १८५७ नंतर घडले, म्हणून त्याला इतिहास आहे.	आणि ते १८५७ नंतर घडले, म्हणून त्याला एक इतिहास आहे.	आणि तेही १८५७ नंतर घडले, म्हणून त्याला हिस्टरी आहे.	आणि ते १८५७ नंतर घडले, म्हणून त्याला एक हिस्टरी आहे.
			
			
			
			
			
			
			
			
ती पुस्तकांच्या प्रेमात पडली 			
चित्रापटात जे घडते ते खरोखर नास्त			